-1.600000	3.200000	-0.800000	2.800000	
-0.800000	3.200000	0.000000	2.800000	
0.000000	3.200000	0.800000	2.800000	
0.800000	3.200000	1.600000	2.800000	
1.600000	3.200000	2.400000	2.800000	
2.400000	3.200000	3.200000	2.800000	
3.200000	3.200000	4.000000	2.800000	
4.000000	3.200000	4.800000	2.800000	
4.800000	3.200000	5.600000	2.800000	
5.600000	3.200000	6.400000	2.800000	
6.400000	3.200000	7.200000	2.800000	
7.200000	3.200000	8.000000	2.800000	
-8.000000	2.800000	-7.200000	2.400000	
-7.200000	2.800000	-6.400000	2.400000	
-6.400000	2.800000	-5.600000	2.400000	
-5.600000	2.800000	-4.800000	2.400000	
-4.800000	2.800000	-4.000000	2.400000	
-4.000000	2.800000	-3.200000	2.400000	
-3.200000	2.800000	-2.400000	2.400000	
-2.400000	2.800000	-1.600000	2.400000	
-1.600000	2.800000	-0.800000	2.400000	
-0.800000	2.800000	0.000000	2.400000	
0.000000	2.800000	0.800000	2.400000	
0.800000	2.800000	1.600000	2.400000	
1.600000	2.800000	2.400000	2.400000	
2.400000	2.800000	3.200000	2.400000	
3.200000	2.800000	4.000000	2.400000	
4.000000	2.800000	4.800000	2.400000	
4.800000	2.800000	5.600000	2.400000	
5.600000	2.800000	6.400000	2.400000	
6.400000	2.800000	7.200000	2.400000	
7.200000	2.800000	8.000000	2.400000	
-8.000000	2.400000	-7.200000	2.000000	
-7.200000	2.400000	-6.400000	2.000000	
-6.400000	2.400000	-5.600000	2.000000	
-5.600000	2.400000	-4.800000	2.000000	
-4.800000	2.400000	-4.000000	2.000000	
-4.000000	2.400000	-3.200000	2.000000	
-3.200000	2.400000	-2.400000	2.000000	
-2.400000	2.400000	-1.600000	2.000000	
-1.600000	2.400000	-0.800000	2.000000	
-0.800000	2.400000	0.000000	2.000000	
0.000000	2.400000	0.800000	2.000000	
0.800000	2.400000	1.600000	2.000000	
1.600000	2.400000	2.400000	2.000000	
2.400000	2.400000	3.200000	2.000000	
3.200000	2.400000	4.000000	2.000000	
4.000000	2.400000	4.800000	2.000000	
4.800000	2.400000	5.600000	2.000000	
5.600000	2.400000	6.400000	2.000000	
6.400000	2.400000	7.200000	2.000000	
7.200000	2.400000	8.000000	2.000000	
-8.000000	2.000000	-7.200000	1.600000	
-7.200000	2.000000	-6.400000	1.600000	
-6.400000	2.000000	-5.600000	1.600000	
-5.600000	2.000000	-4.800000	1.600000	
-4.800000	2.000000	-4.000000	1.600000	
-4.000000	2.000000	-3.200000	1.600000	
-3.200000	2.000000	-2.400000	1.600000	
-2.400000	2.000000	-1.600000	1.600000	
-1.600000	2.000000	-0.800000	1.600000	
-0.800000	2.000000	0.000000	1.600000	
0.000000	2.000000	0.800000	1.600000	
0.800000	2.000000	1.600000	1.600000	
1.600000	2.000000	2.400000	1.600000	
2.400000	2.000000	3.200000	1.600000	
3.200000	2.000000	4.000000	1.600000	
4.000000	2.000000	4.800000	1.600000	
4.800000	2.000000	5.600000	1.600000	
5.600000	2.000000	6.400000	1.600000	
6.400000	2.000000	7.200000	1.600000	
7.200000	2.000000	8.000000	1.600000	
-8.000000	1.600000	-7.200000	1.200000	
-7.200000	1.600000	-6.400000	1.200000	
-6.400000	1.600000	-5.600000	1.200000	
-5.600000	1.600000	-4.800000	1.200000	
-4.800000	1.600000	-4.000000	1.200000	
-4.000000	1.600000	-3.200000	1.200000	
-3.200000	1.600000	-2.400000	1.200000	
-2.400000	1.600000	-1.600000	1.200000	
-1.600000	1.600000	-0.800000	1.200000	
-0.800000	1.600000	0.000000	1.200000	
0.000000	1.600000	0.800000	1.200000	
0.800000	1.600000	1.600000	1.200000	
1.600000	1.600000	2.400000	1.200000	
2.400000	1.600000	3.200000	1.200000	
3.200000	1.600000	4.000000	1.200000	
4.000000	1.600000	4.800000	1.200000	
4.800000	1.600000	5.600000	1.200000	
5.600000	1.600000	6.400000	1.200000	
6.400000	1.600000	7.200000	1.200000	
7.200000	1.600000	8.000000	1.200000	
-8.000000	1.200000	-7.200000	0.800000	
-7.200000	1.200000	-6.400000	0.800000	
-6.400000	1.200000	-5.600000	0.800000	
-5.600000	1.200000	-4.800000	0.800000	
-4.800000	1.200000	-4.000000	0.800000	
-4.000000	1.200000	-3.200000	0.800000	
-3.200000	1.200000	-2.400000	0.800000	
-2.400000	1.200000	-1.600000	0.800000	
-1.600000	1.200000	-0.800000	0.800000	
-0.800000	1.200000	0.000000	0.800000	
0.000000	1.200000	0.800000	0.800000	
0.800000	1.200000	1.600000	0.800000	
1.600000	1.200000	2.400000	0.800000	
2.400000	1.200000	3.200000	0.800000	
3.200000	1.200000	4.000000	0.800000	
4.000000	1.200000	4.800000	0.800000	
4.800000	1.200000	5.600000	0.800000	
5.600000	1.200000	6.400000	0.800000	
6.400000	1.200000	7.200000	0.800000	
7.200000	1.200000	8.000000	0.800000	
-8.000000	0.800000	-7.200000	0.400000	
-7.200000	0.800000	-6.400000	0.400000	
-6.400000	0.800000	-5.600000	0.400000	
-5.600000	0.800000	-4.800000	0.400000	
-4.800000	0.800000	-4.000000	0.400000	
-4.000000	0.800000	-3.200000	0.400000	
-3.200000	0.800000	-2.400000	0.400000	
-2.400000	0.800000	-1.600000	0.400000	
-1.600000	0.800000	-0.800000	0.400000	
-0.800000	0.800000	0.000000	0.400000	
0.000000	0.800000	0.800000	0.400000	
0.800000	0.800000	1.600000	0.400000	
1.600000	0.800000	2.400000	0.400000	
2.400000	0.800000	3.200000	0.400000	
3.200000	0.800000	4.000000	0.400000	
4.000000	0.800000	4.800000	0.400000	
4.800000	0.800000	5.600000	0.400000	
5.600000	0.800000	6.400000	0.400000	
6.400000	0.800000	7.200000	0.400000	
7.200000	0.800000	8.000000	0.400000	
-8.000000	0.400000	-7.200000	0.000000	
-7.200000	0.400000	-6.400000	0.000000	
-6.400000	0.400000	-5.600000	0.000000	
-5.600000	0.400000	-4.800000	0.000000	
-4.800000	0.400000	-4.000000	0.000000	
-4.000000	0.400000	-3.200000	0.000000	
-3.200000	0.400000	-2.400000	0.000000	
-2.400000	0.400000	-1.600000	0.000000	
-1.600000	0.400000	-0.800000	0.000000	
-0.800000	0.400000	0.000000	0.000000	
0.000000	0.400000	0.800000	0.000000	
0.800000	0.400000	1.600000	0.000000	
1.600000	0.400000	2.400000	0.000000	
2.400000	0.400000	3.200000	0.000000	
3.200000	0.400000	4.000000	0.000000	
4.000000	0.400000	4.800000	0.000000	
4.800000	0.400000	5.600000	0.000000	
5.600000	0.400000	6.400000	0.000000	
6.400000	0.400000	7.200000	0.000000	
7.200000	0.400000	8.000000	0.000000	
-8.000000	0.000000	-7.200000	-0.400000	
-7.200000	0.000000	-6.400000	-0.400000	
-6.400000	0.000000	-5.600000	-0.400000	
-5.600000	0.000000	-4.800000	-0.400000	
-4.800000	0.000000	-4.000000	-0.400000	
-4.000000	0.000000	-3.200000	-0.400000	
-3.200000	0.000000	-2.400000	-0.400000	
-2.400000	0.000000	-1.600000	-0.400000	
-1.600000	0.000000	-0.800000	-0.400000	
-0.800000	0.000000	0.000000	-0.400000	
0.000000	0.000000	0.800000	-0.400000	
0.800000	0.000000	1.600000	-0.400000	
1.600000	0.000000	2.400000	-0.400000	
2.400000	0.000000	3.200000	-0.400000	
3.200000	0.000000	4.000000	-0.400000	
4.000000	0.000000	4.800000	-0.400000	
4.800000	0.000000	5.600000	-0.400000	
5.600000	0.000000	6.400000	-0.400000	
6.400000	0.000000	7.200000	-0.400000	
7.200000	0.000000	8.000000	-0.400000	
-8.000000	-0.400000	-7.200000	-0.800000	
-7.200000	-0.400000	-6.400000	-0.800000	
-6.400000	-0.400000	-5.600000	-0.800000	
-5.600000	-0.400000	-4.800000	-0.800000	
-4.800000	-0.400000	-4.000000	-0.800000	
-4.000000	-0.400000	-3.200000	-0.800000	
-3.200000	-0.400000	-2.400000	-0.800000	
-2.400000	-0.400000	-1.600000	-0.800000	
-1.600000	-0.400000	-0.800000	-0.800000	
-0.800000	-0.400000	0.000000	-0.800000	
0.000000	-0.400000	0.800000	-0.800000	
0.800000	-0.400000	1.600000	-0.800000	
1.600000	-0.400000	2.400000	-0.800000	
2.400000	-0.400000	3.200000	-0.800000	
3.200000	-0.400000	4.000000	-0.800000	
4.000000	-0.400000	4.800000	-0.800000	
4.800000	-0.400000	5.600000	-0.800000	
5.600000	-0.400000	6.400000	-0.800000	
6.400000	-0.400000	7.200000	-0.800000	
7.200000	-0.400000	8.000000	-0.800000	
-8.000000	-0.800000	-7.200000	-1.200000	
-7.200000	-0.800000	-6.400000	-1.200000	
-6.400000	-0.800000	-5.600000	-1.200000	
-5.600000	-0.800000	-4.800000	-1.200000	
-4.800000	-0.800000	-4.000000	-1.200000	
-4.000000	-0.800000	-3.200000	-1.200000	
-3.200000	-0.800000	-2.400000	-1.200000	
-2.400000	-0.800000	-1.600000	-1.200000	
-1.600000	-0.800000	-0.800000	-1.200000	
-0.800000	-0.800000	0.000000	-1.200000	
0.000000	-0.800000	0.800000	-1.200000	
0.800000	-0.800000	1.600000	-1.200000	
1.600000	-0.800000	2.400000	-1.200000	
2.400000	-0.800000	3.200000	-1.200000	
3.200000	-0.800000	4.000000	-1.200000	
4.000000	-0.800000	4.800000	-1.200000	
4.800000	-0.800000	5.600000	-1.200000	
5.600000	-0.800000	6.400000	-1.200000	
6.400000	-0.800000	7.200000	-1.200000	
7.200000	-0.800000	8.000000	-1.200000	
-8.000000	-1.200000	-7.200000	-1.600000	
-7.200000	-1.200000	-6.400000	-1.600000	
-6.400000	-1.200000	-5.600000	-1.600000	
-5.600000	-1.200000	-4.800000	-1.600000	
-4.800000	-1.200000	-4.000000	-1.600000	
-4.000000	-1.200000	-3.200000	-1.600000	
-3.200000	-1.200000	-2.400000	-1.600000	
-2.400000	-1.200000	-1.600000	-1.600000	
-1.600000	-1.200000	-0.800000	-1.600000	
-0.800000	-1.200000	0.000000	-1.600000	
0.000000	-1.200000	0.800000	-1.600000	
0.800000	-1.200000	1.600000	-1.600000	
1.600000	-1.200000	2.400000	-1.600000	
2.400000	-1.200000	3.200000	-1.600000	
3.200000	-1.200000	4.000000	-1.600000	
4.000000	-1.200000	4.800000	-1.600000	
4.800000	-1.200000	5.600000	-1.600000	
5.600000	-1.200000	6.400000	-1.600000	
6.400000	-1.200000	7.200000	-1.600000	
7.200000	-1.200000	8.000000	-1.600000	
-8.000000	-1.600000	-7.200000	-2.000000	
-7.200000	-1.600000	-6.400000	-2.000000	
-6.400000	-1.600000	-5.600000	-2.000000	
-5.600000	-1.600000	-4.800000	-2.000000	
-4.800000	-1.600000	-4.000000	-2.000000	
-4.000000	-1.600000	-3.200000	-2.000000	
-3.200000	-1.600000	-2.400000	-2.000000	
-2.400000	-1.600000	-1.600000	-2.000000	
-1.600000	-1.600000	-0.800000	-2.000000	
-0.800000	-1.600000	0.000000	-2.000000	
0.000000	-1.600000	0.800000	-2.000000	
0.800000	-1.600000	1.600000	-2.000000	
1.600000	-1.600000	2.400000	-2.000000	
2.400000	-1.600000	3.200000	-2.000000	
3.200000	-1.600000	4.000000	-2.000000	
4.000000	-1.600000	4.800000	-2.000000	
4.800000	-1.600000	5.600000	-2.000000	
5.600000	-1.600000	6.400000	-2.000000	
6.400000	-1.600000	7.200000	-2.000000	
7.200000	-1.600000	8.000000	-2.000000	
-8.000000	-2.000000	-7.200000	-2.400000	
-7.200000	-2.000000	-6.400000	-2.400000	
-6.400000	-2.000000	-5.600000	-2.400000	
-5.600000	-2.000000	-4.800000	-2.400000	
-4.800000	-2.000000	-4.000000	-2.400000	
-4.000000	-2.000000	-3.200000	-2.400000	
-3.200000	-2.000000	-2.400000	-2.400000	
-2.400000	-2.000000	-1.600000	-2.400000	
-1.600000	-2.000000	-0.800000	-2.400000	
-0.800000	-2.000000	0.000000	-2.400000	
0.000000	-2.000000	0.800000	-2.400000	
0.800000	-2.000000	1.600000	-2.400000	
1.600000	-2.000000	2.400000	-2.400000	
2.400000	-2.000000	3.200000	-2.400000	
3.200000	-2.000000	4.000000	-2.400000	
4.000000	-2.000000	4.800000	-2.400000	
4.800000	-2.000000	5.600000	-2.400000	
5.600000	-2.000000	6.400000	-2.400000	
6.400000	-2.000000	7.200000	-2.400000	
7.200000	-2.000000	8.000000	-2.400000	
-8.000000	-2.400000	-7.200000	-2.800000	
-7.200000	-2.400000	-6.400000	-2.800000	
-6.400000	-2.400000	-5.600000	-2.800000	
-5.600000	-2.400000	-4.800000	-2.800000	
-4.800000	-2.400000	-4.000000	-2.800000	
-4.000000	-2.400000	-3.200000	-2.800000	
-3.200000	-2.400000	-2.400000	-2.800000	
-2.400000	-2.400000	-1.600000	-2.800000	
-1.600000	-2.400000	-0.800000	-2.800000	
-0.800000	-2.400000	0.000000	-2.800000	
0.000000	-2.400000	0.800000	-2.800000	
0.800000	-2.400000	1.600000	-2.800000	
1.600000	-2.400000	2.400000	-2.800000	
2.400000	-2.400000	3.200000	-2.800000	
3.200000	-2.400000	4.000000	-2.800000	
4.000000	-2.400000	4.800000	-2.800000	
4.800000	-2.400000	5.600000	-2.800000	
5.600000	-2.400000	6.400000	-2.800000	
6.400000	-2.400000	7.200000	-2.800000	
7.200000	-2.400000	8.000000	-2.800000	
-8.000000	-2.800000	-7.200000	-3.200000	
-7.200000	-2.800000	-6.400000	-3.200000	
-6.400000	-2.800000	-5.600000	-3.200000	
-5.600000	-2.800000	-4.800000	-3.200000	
-4.800000	-2.800000	-4.000000	-3.200000	
-4.000000	-2.800000	-3.200000	-3.200000	
-3.200000	-2.800000	-2.400000	-3.200000	
-2.400000	-2.800000	-1.600000	-3.200000	
-1.600000	-2.800000	-0.800000	-3.200000	
-0.800000	-2.800000	0.000000	-3.200000	
0.000000	-2.800000	0.800000	-3.200000	
0.800000	-2.800000	1.600000	-3.200000	
1.600000	-2.800000	2.400000	-3.200000	
2.400000	-2.800000	3.200000	-3.200000	
3.200000	-2.800000	4.000000	-3.200000	
4.000000	-2.800000	4.800000	-3.200000	
4.800000	-2.800000	5.600000	-3.200000	
5.600000	-2.800000	6.400000	-3.200000	
6.400000	-2.800000	7.200000	-3.200000	
7.200000	-2.800000	8.000000	-3.200000	
-8.000000	-3.200000	-7.200000	-3.600000	
-7.200000	-3.200000	-6.400000	-3.600000	
-6.400000	-3.200000	-5.600000	-3.600000	
-5.600000	-3.200000	-4.800000	-3.600000	
-4.800000	-3.200000	-4.000000	-3.600000	
-4.000000	-3.200000	-3.200000	-3.600000	
-3.200000	-3.200000	-2.400000	-3.600000	
-2.400000	-3.200000	-1.600000	-3.600000	
-1.600000	-3.200000	-0.800000	-3.600000	
-0.800000	-3.200000	0.000000	-3.600000	
0.000000	-3.200000	0.800000	-3.600000	
0.800000	-3.200000	1.600000	-3.600000	
1.600000	-3.200000	2.400000	-3.600000	
2.400000	-3.200000	3.200000	-3.600000	
3.200000	-3.200000	4.000000	-3.600000	
4.000000	-3.200000	4.800000	-3.600000	
4.800000	-3.200000	5.600000	-3.600000	
5.600000	-3.200000	6.400000	-3.600000	
6.400000	-3.200000	7.200000	-3.600000	
7.200000	-3.200000	8.000000	-3.600000	
-8.000000	-3.600000	-7.200000	-4.000000	
-7.200000	-3.600000	-6.400000	-4.000000	
-6.400000	-3.600000	-5.600000	-4.000000	
-5.600000	-3.600000	-4.800000	-4.000000	
-4.800000	-3.600000	-4.000000	-4.000000	
-4.000000	-3.600000	-3.200000	-4.000000	
-3.200000	-3.600000	-2.400000	-4.000000	
-2.400000	-3.600000	-1.600000	-4.000000	
-1.600000	-3.600000	-0.800000	-4.000000	
-0.800000	-3.600000	0.000000	-4.000000	
0.000000	-3.600000	0.800000	-4.000000	
0.800000	-3.600000	1.600000	-4.000000	
1.600000	-3.600000	2.400000	-4.000000	
2.400000	-3.600000	3.200000	-4.000000	
3.200000	-3.600000	4.000000	-4.000000	
4.000000	-3.600000	4.800000	-4.000000	
4.800000	-3.600000	5.600000	-4.000000	
5.600000	-3.600000	6.400000	-4.000000	
6.400000	-3.600000	7.200000	-4.000000	
7.200000	-3.600000	8.000000	-4.000000	
